region,year,value
경기도포천시,2020,34136.0
경기도포천시,2021,32142.0
경기도포천시,2022,33970.0
경기도포천시,2023,35780.0
경기도하남시,2020,3716.0
경기도하남시,2021,4953.0
경기도하남시,2022,3684.0
경기도하남시,2023,3258.0
경기도화성시,2020,145016.0
경기도화성시,2021,166412.0
경기도화성시,2022,144631.0
경기도화성시,2023,145760.0
경상남도거제시,2020,2459.0
경상남도거제시,2021,1989.0
경상남도거제시,2022,1742.0
경상남도거제시,2023,1796.0
경상남도거창군,2020,2309.0
경상남도거창군,2021,3335.0
경상남도거창군,2022,3711.0
경상남도거창군,2023,3103.0
경상남도고성군,2020,2236.0
경상남도고성군,2021,1726.0
경상남도고성군,2022,1588.0
경상남도고성군,2023,2290.0
경상남도김해시,2020,10743.0
경상남도김해시,2021,12337.0
경상남도김해시,2022,13336.0
경상남도김해시,2023,14479.0
경상남도남해군,2020,430.0
경상남도남해군,2021,159.0
경상남도남해군,2022,159.0
경상남도남해군,2023,323.0
경상남도밀양시,2020,5178.0
경상남도밀양시,2021,4532.0
경상남도밀양시,2022,4057.0
경상남도밀양시,2023,3544.0
경상남도사천시,2020,7336.0
경상남도사천시,2021,7895.0
경상남도사천시,2022,7345.0
경상남도사천시,2023,15342.0
경상남도산청군,2020,196.0
경상남도산청군,2021,480.0
경상남도산청군,2022,130.0
경상남도산청군,2023,780.0
경상남도양산시,2020,26267.0
경상남도양산시,2021,26319.0
경상남도양산시,2022,22344.0
경상남도양산시,2023,17965.0
경상남도의령군,2020,2517.0
경상남도의령군,2021,2711.0
경상남도의령군,2022,2357.0
경상남도의령군,2023,2661.0
경상남도진주시,2020,18063.0
경상남도진주시,2021,20521.0
경상남도진주시,2022,20952.0
경상남도진주시,2023,17388.0
경상남도창녕군,2020,2551.0
경상남도창녕군,2021,2386.0
경상남도창녕군,2022,2626.0
경상남도창녕군,2023,2659.0
경상남도창원시,2020,8033.2
경상남도창원시,2021,6824.4
경상남도창원시,2022,6227.8
경상남도창원시,2023,6732.8
경상남도통영시,2020,913.0
경상남도통영시,2021,828.0
경상남도통영시,2022,1314.0
경상남도통영시,2023,1105.0
경상남도하동군,2020,572.0
경상남도하동군,2021,328.0
경상남도하동군,2022,326.0
경상남도하동군,2023,448.0
경상남도함안군,2020,11108.0
경상남도함안군,2021,10740.0
경상남도함안군,2022,10727.0
경상남도함안군,2023,10215.0
경상남도함양군,2020,500.0
경상남도함양군,2021,517.0
경상남도함양군,2022,715.0
경상남도함양군,2023,732.0
경상남도합천군,2020,1859.0
경상남도합천군,2021,2138.0
경상남도합천군,2022,1235.0
경상남도합천군,2023,1424.0
경상북도경산시,2020,9581.0
경상북도경산시,2021,10110.0
경상북도경산시,2022,8325.0
경상북도경산시,2023,6439.0
경상북도경주시,2020,14788.0
경상북도경주시,2021,14475.0
경상북도경주시,2022,14669.0
경상북도경주시,2023,14929.0
경상북도고령군,2020,4965.0
경상북도고령군,2021,4809.0
경상북도고령군,2022,4989.0
경상북도고령군,2023,5061.0
경상북도구미시,2020,173813.0
경상북도구미시,2021,173996.0
경상북도구미시,2022,155622.0
경상북도구미시,2023,143513.0
경상북도김천시,2020,16272.0
경상북도김천시,2021,17555.0
경상북도김천시,2022,17981.0
경상북도김천시,2023,26497.0
경상북도문경시,2020,856.0
경상북도문경시,2021,1723.0
경상북도문경시,2022,737.0
경상북도문경시,2023,1109.0
경상북도봉화군,2020,1918.0
경상북도봉화군,2021,418.0
경상북도봉화군,2022,532.0
경상북도봉화군,2023,534.0
경상북도상주시,2020,2932.0
경상북도상주시,2021,3106.0
경상북도상주시,2022,3532.0
경상북도상주시,2023,3632.0
경상북도성주군,2020,1699.0
경상북도성주군,2021,2803.0
경상북도성주군,2022,2962.0
경상북도성주군,2023,4093.0
경상북도안동시,2020,6980.0
경상북도안동시,2021,9456.0
경상북도안동시,2022,4312.0
경상북도안동시,2023,7472.0
경상북도영덕군,2020,2216.0
경상북도영덕군,2021,806.0
경상북도영덕군,2022,687.0
경상북도영덕군,2023,1935.0
경상북도영양군,2020,153.0
경상북도영양군,2021,96.0
경상북도영양군,2022,126.0
경상북도영양군,2023,87.0
경상북도영주시,2020,5286.0
경상북도영주시,2021,6134.0
경상북도영주시,2022,2687.0
경상북도영주시,2023,1629.0
경상북도영천시,2020,4243.0
경상북도영천시,2021,4924.0
경상북도영천시,2022,4352.0
경상북도영천시,2023,4200.0
경상북도예천군,2020,1127.0
경상북도예천군,2021,26.0
경상북도예천군,2022,660.0
경상북도예천군,2023,820.0
경상북도울릉군,2020,27.0
경상북도울릉군,2021,29.0
경상북도울릉군,2022,32.0
경상북도울릉군,2023,37.0
경상북도울진군,2020,4395.0
경상북도울진군,2021,5329.0
경상북도울진군,2022,4960.0
경상북도울진군,2023,5739.0
경상북도의성군,2020,309.0
경상북도의성군,2021,219.0
경상북도의성군,2022,133.0
경상북도의성군,2023,234.0
경상북도청도군,2020,1155.0
경상북도청도군,2021,560.0
경상북도청도군,2022,835.0
경상북도청도군,2023,459.0
경상북도청송군,2020,232.0
경상북도청송군,2021,13.0
경상북도청송군,2022,232.0
경상북도청송군,2023,30.0
경상북도칠곡군,2020,37844.0
경상북도칠곡군,2021,37673.0
경상북도칠곡군,2022,71539.0
경상북도칠곡군,2023,37200.0
경상북도포항시,2020,77788.0
경상북도포항시,2021,88055.0
경상북도포항시,2022,92702.0
경상북도포항시,2023,127096.0
광주시광산구,2020,10709.0
광주시광산구,2021,11734.0
광주시광산구,2022,11304.0
광주시광산구,2023,8589.0
광주시남구,2020,2672.0
광주시남구,2021,2710.0
광주시남구,2022,2492.0
광주시남구,2023,2630.0
광주시동구,2020,1675.0
광주시동구,2021,1750.0
광주시동구,2022,2168.0
광주시동구,2023,2757.0
광주시북구,2020,10875.0
광주시북구,2021,12225.0
광주시북구,2022,12149.0
광주시북구,2023,13512.0
광주시서구,2020,5017.0
광주시서구,2021,5496.0
광주시서구,2022,7570.0
광주시서구,2023,5569.0
대구시군위군,2020,4533.0
대구시군위군,2021,3821.0
대구시군위군,2022,1771.0
대구시군위군,2023,1820.0
대구시남구,2020,88.0
대구시남구,2021,177.0
대구시남구,2022,220.0
대구시남구,2023,152.0
대구시달서구,2020,19419.0
대구시달서구,2021,21861.0
대구시달서구,2022,20239.0
대구시달서구,2023,15807.0
대구시달성군,2020,35033.0
대구시달성군,2021,38659.0
대구시달성군,2022,40589.0
대구시달성군,2023,38526.0
대구시동구,2020,675.0
대구시동구,2021,1074.0
대구시동구,2022,1163.0
대구시동구,2023,796.0
대구시북구,2020,5809.0
대구시북구,2021,7200.0
대구시북구,2022,5913.0
대구시북구,2023,5975.0
대구시서구,2020,73052.0
대구시서구,2021,70685.0
대구시서구,2022,76870.0
대구시서구,2023,74789.0
대구시수성구,2020,2222.0
대구시수성구,2021,2433.0
대구시수성구,2022,2282.0
대구시수성구,2023,1920.0
대구시중구,2020,499.0
대구시중구,2021,531.0
대구시중구,2022,526.0
대구시중구,2023,522.0
대전시대덕구,2020,35476.0
대전시대덕구,2021,36055.0
대전시대덕구,2022,37338.0
대전시대덕구,2023,36571.0
대전시동구,2020,267.0
대전시동구,2021,709.0
대전시동구,2022,429.0
대전시동구,2023,332.0
대전시서구,2020,1620.0
대전시서구,2021,1538.0
대전시서구,2022,2323.0
대전시서구,2023,2194.0
대전시유성구,2020,3728.0
대전시유성구,2021,4755.0
대전시유성구,2022,3384.0
대전시유성구,2023,4095.0
대전시중구,2020,167.0
대전시중구,2021,464.0
대전시중구,2022,578.0
대전시중구,2023,377.0
부산시강서구,2020,34548.0
부산시강서구,2021,35403.0
부산시강서구,2022,35611.0
부산시강서구,2023,32394.0
부산시금정구,2020,1800.0
부산시금정구,2021,2178.0
부산시금정구,2022,1862.0
부산시금정구,2023,1506.0
부산시기장군,2020,3932.0
부산시기장군,2021,3918.0
부산시기장군,2022,2966.0
부산시기장군,2023,4981.0
부산시남구,2020,9170.0
부산시남구,2021,6506.0
부산시남구,2022,6442.0
부산시남구,2023,7364.0
부산시동구,2020,42.0
부산시동구,2021,129.0
부산시동구,2022,101.0
부산시동구,2023,56.0
부산시동래구,2020,2558.0
부산시동래구,2021,3313.0
부산시동래구,2022,3863.0
부산시동래구,2023,3561.0
부산시부산진구,2020,128.0
부산시부산진구,2021,402.0
부산시부산진구,2022,327.0
부산시부산진구,2023,590.0
부산시북구,2020,1373.0
부산시북구,2021,1250.0
부산시북구,2022,2827.0
부산시북구,2023,2880.0
부산시사상구,2020,2480.0
부산시사상구,2021,2716.0
부산시사상구,2022,3274.0
부산시사상구,2023,3087.0
부산시사하구,2020,54813.0
부산시사하구,2021,29938.0
부산시사하구,2022,28343.0
부산시사하구,2023,26887.0
부산시서구,2020,3389.0
부산시서구,2021,3647.0
부산시서구,2022,3352.0
부산시서구,2023,3131.0
부산시수영구,2020,57.0
부산시수영구,2021,121.0
부산시수영구,2022,115.0
부산시수영구,2023,105.0
부산시연제구,2020,39.0
부산시연제구,2021,110.0
부산시연제구,2022,181.0
부산시연제구,2023,388.0
부산시영도구,2020,84.0
부산시영도구,2021,87.0
부산시영도구,2022,148.0
부산시영도구,2023,98.0
부산시중구,2020,54.0
부산시중구,2021,81.0
부산시중구,2022,57.0
부산시중구,2023,66.0
부산시해운대구,2020,1323.0
부산시해운대구,2021,1841.0
부산시해운대구,2022,2095.0
부산시해운대구,2023,2683.0
서울시강남구,2020,3754.0
서울시강남구,2021,6970.0
서울시강남구,2022,8360.0
서울시강남구,2023,5502.0
서울시강동구,2020,8575.0
서울시강동구,2021,4139.0
서울시강동구,2022,10048.0
서울시강동구,2023,9209.0
서울시강북구,2020,197.0
서울시강북구,2021,459.0
서울시강북구,2022,491.0
서울시강북구,2023,381.0
서울시강서구,2020,3130.0
서울시강서구,2021,3159.0
서울시강서구,2022,3362.0
서울시강서구,2023,2952.0
서울시관악구,2020,1466.0
서울시관악구,2021,1994.0
서울시관악구,2022,2633.0
서울시관악구,2023,1973.0
서울시광진구,2020,3073.0
서울시광진구,2021,3127.0
서울시광진구,2022,3826.0
서울시광진구,2023,3664.0
서울시구로구,2020,3107.0
서울시구로구,2021,1196.0
서울시구로구,2022,1228.0
서울시구로구,2023,1122.0
서울시금천구,2020,1227.0
서울시금천구,2021,2865.0
서울시금천구,2022,7025.0
서울시금천구,2023,6383.0
서울시노원구,2020,1883.0
서울시노원구,2021,599.0
서울시노원구,2022,735.0
서울시노원구,2023,2097.0
서울시도봉구,2020,895.0
서울시도봉구,2021,1395.0
서울시도봉구,2022,893.0
서울시도봉구,2023,893.0
서울시동대문구,2020,846.0
서울시동대문구,2021,775.0
서울시동대문구,2022,6430.0
서울시동대문구,2023,7135.0
서울시동작구,2020,1287.0
서울시동작구,2021,1001.0
서울시동작구,2022,1090.0
서울시동작구,2023,1666.0
서울시마포구,2020,404.0
서울시마포구,2021,1100.0
서울시마포구,2022,1208.0
서울시마포구,2023,1086.0
서울시서대문구,2020,517.0
서울시서대문구,2021,626.0
서울시서대문구,2022,643.0
서울시서대문구,2023,665.0
서울시서초구,2020,2234.0
서울시서초구,2021,2764.0
서울시서초구,2022,1655.0
서울시서초구,2023,1958.0
서울시성동구,2020,5690.0
서울시성동구,2021,5394.0
서울시성동구,2022,5500.0
서울시성동구,2023,4501.0
서울시성북구,2020,983.0
서울시성북구,2021,2331.0
서울시성북구,2022,1762.0
서울시성북구,2023,3614.0
서울시송파구,2020,1634.0
서울시송파구,2021,1996.0
서울시송파구,2022,2159.0
서울시송파구,2023,3002.0
서울시양천구,2020,1954.0
서울시양천구,2021,702.0
서울시양천구,2022,559.0
서울시양천구,2023,729.0
서울시영등포구,2020,5404.0
서울시영등포구,2021,5726.0
서울시영등포구,2022,7502.0
서울시영등포구,2023,11132.0
서울시용산구,2020,1531.0
서울시용산구,2021,1668.0
서울시용산구,2022,1672.0
서울시용산구,2023,675.0
서울시은평구,2020,353.0
서울시은평구,2021,657.0
서울시은평구,2022,787.0
서울시은평구,2023,760.0
서울시종로구,2020,939.0
서울시종로구,2021,881.0
서울시종로구,2022,878.0
서울시종로구,2023,882.0
서울시중구,2020,1403.0
서울시중구,2021,1403.0
서울시중구,2022,926.0
서울시중구,2023,949.0
서울시중랑구,2020,650.0
서울시중랑구,2021,677.0
서울시중랑구,2022,613.0
서울시중랑구,2023,570.0
세종시세종시,2020,53626.0
세종시세종시,2021,42012.0
세종시세종시,2022,43604.0
세종시세종시,2023,43983.0
울산시남구,2020,241630.0
울산시남구,2021,244101.0
울산시남구,2022,228904.0
울산시남구,2023,169425.0
울산시동구,2020,619.0
울산시동구,2021,1002.0
울산시동구,2022,598.0
울산시동구,2023,590.0
울산시북구,2020,14629.0
울산시북구,2021,14552.0
울산시북구,2022,14929.0
울산시북구,2023,15468.0
울산시울주군,2020,164721.0
울산시울주군,2021,171736.0
울산시울주군,2022,153776.0
울산시울주군,2023,171104.0
울산시중구,2020,61.0
울산시중구,2021,183.0
울산시중구,2022,150.0
울산시중구,2023,187.0
인천시강화군,2020,714.0
인천시강화군,2021,872.0
인천시강화군,2022,423.0
인천시강화군,2023,701.0
인천시계양구,2020,353.0
인천시계양구,2021,540.0
인천시계양구,2022,635.0
인천시계양구,2023,681.0
인천시남구,2020,1726.0
인천시남구,2021,2218.0
인천시남구,2022,1992.0
인천시남구,2023,1826.0
인천시남동구,2020,11325.0
인천시남동구,2021,10415.0
인천시남동구,2022,10658.0
인천시남동구,2023,10084.0
인천시동구,2020,4582.0
인천시동구,2021,5692.0
인천시동구,2022,3840.0
인천시동구,2023,3498.0
인천시부평구,2020,7409.0
인천시부평구,2021,8510.0
인천시부평구,2022,8498.0
인천시부평구,2023,11526.0
인천시서구,2020,39994.0
인천시서구,2021,40961.0
인천시서구,2022,33305.0
인천시서구,2023,40358.0
인천시연수구,2020,5683.0
인천시연수구,2021,7610.0
인천시연수구,2022,10514.0
인천시연수구,2023,10104.0
인천시옹진군,2020,1.0
인천시옹진군,2021,28.0
인천시옹진군,2022,39.0
인천시옹진군,2023,80.0
인천시중구,2020,7917.0
인천시중구,2021,7344.0
인천시중구,2022,9016.0
인천시중구,2023,7733.0
전라남도강진군,2020,1402.0
전라남도강진군,2021,1614.0
전라남도강진군,2022,1654.0
전라남도강진군,2023,2165.0
전라남도고흥군,2020,2096.0
전라남도고흥군,2021,2258.0
전라남도고흥군,2022,2264.0
전라남도고흥군,2023,2784.0
전라남도곡성군,2020,239.0
전라남도곡성군,2021,254.0
전라남도곡성군,2022,248.0
전라남도곡성군,2023,225.0
전라남도광양시,2020,116216.0
전라남도광양시,2021,119666.0
전라남도광양시,2022,90579.0
전라남도광양시,2023,97946.0
전라남도구례군,2020,990.0
전라남도구례군,2021,1031.0
전라남도구례군,2022,972.0
전라남도구례군,2023,1051.0
전라남도나주시,2020,7482.0
전라남도나주시,2021,7036.0
전라남도나주시,2022,5235.0
전라남도나주시,2023,7209.0
전라남도담양군,2020,5813.0
전라남도담양군,2021,1353.0
전라남도담양군,2022,4756.0
전라남도담양군,2023,4937.0
전라남도목포시,2020,3153.0
전라남도목포시,2021,2877.0
전라남도목포시,2022,2904.0
전라남도목포시,2023,4247.0
전라남도무안군,2020,2290.0
전라남도무안군,2021,2310.0
전라남도무안군,2022,6899.0
전라남도무안군,2023,9748.0
전라남도보성군,2020,528.0
전라남도보성군,2021,566.0
전라남도보성군,2022,567.0
전라남도보성군,2023,427.0
전라남도순천시,2020,8260.0
전라남도순천시,2021,8740.0
전라남도순천시,2022,9716.0
전라남도순천시,2023,2366.0
전라남도신안군,2020,105.0
전라남도신안군,2021,154.0
전라남도신안군,2022,154.0
전라남도신안군,2023,163.0
전라남도여수시,2020,172347.0
전라남도여수시,2021,148141.0
전라남도여수시,2022,136185.0
전라남도여수시,2023,134840.0
전라남도영광군,2020,4180.0
전라남도영광군,2021,2919.0
전라남도영광군,2022,3329.0
전라남도영광군,2023,3463.0
전라남도영암군,2020,3077.0
전라남도영암군,2021,3142.0
전라남도영암군,2022,2623.0
전라남도영암군,2023,1913.0
전라남도완도군,2020,972.0
전라남도완도군,2021,3050.0
전라남도완도군,2022,2327.0
전라남도완도군,2023,1172.0
전라남도장성군,2020,3248.0
전라남도장성군,2021,1210.0
전라남도장성군,2022,1177.0
전라남도장성군,2023,3242.0
전라남도장흥군,2020,3377.0
전라남도장흥군,2021,3648.0
전라남도장흥군,2022,4464.0
전라남도장흥군,2023,4011.0
전라남도진도군,2020,597.0
전라남도진도군,2021,680.0
전라남도진도군,2022,678.0
전라남도진도군,2023,700.0
전라남도함평군,2020,1165.0
전라남도함평군,2021,710.0
전라남도함평군,2022,2099.0
전라남도함평군,2023,2097.0
전라남도해남군,2020,1980.0
전라남도해남군,2021,2099.0
전라남도해남군,2022,1036.0
전라남도해남군,2023,3575.0
전라남도화순군,2020,12521.0
전라남도화순군,2021,7497.0
전라남도화순군,2022,6114.0
전라남도화순군,2023,5407.0
전라북도고창군,2020,1810.0
전라북도고창군,2021,2037.0
전라북도고창군,2022,862.0
전라북도고창군,2023,2181.0
전라북도군산시,2020,77014.0
전라북도군산시,2021,65363.0
전라북도군산시,2022,70080.0
전라북도군산시,2023,55492.0
전라북도김제시,2020,6642.0
전라북도김제시,2021,3346.0
전라북도김제시,2022,8495.0
전라북도김제시,2023,8092.0
전라북도남원시,2020,3809.0
전라북도남원시,2021,1942.0
전라북도남원시,2022,1308.0
전라북도남원시,2023,1729.0
전라북도무주군,2020,180.0
전라북도무주군,2021,180.0
전라북도무주군,2022,179.0
전라북도무주군,2023,1064.0
전라북도부안군,2020,6230.0
전라북도부안군,2021,721.0
전라북도부안군,2022,4851.0
전라북도부안군,2023,4202.0
전라북도순창군,2020,1197.0
전라북도순창군,2021,393.0
전라북도순창군,2022,1033.0
전라북도순창군,2023,445.0
전라북도완주군,2020,38192.0
전라북도완주군,2021,31592.0
전라북도완주군,2022,33443.0
전라북도완주군,2023,31702.0
전라북도익산시,2020,24735.0
전라북도익산시,2021,38402.0
전라북도익산시,2022,30128.0
전라북도익산시,2023,29892.0
전라북도임실군,2020,2431.0
전라북도임실군,2021,3209.0
전라북도임실군,2022,2230.0
전라북도임실군,2023,3515.0
전라북도장수군,2020,156.0
전라북도장수군,2021,280.0
전라북도장수군,2022,245.0
전라북도장수군,2023,343.0
전라북도전주시,2020,26354.0
전라북도전주시,2021,19631.0
전라북도전주시,2022,27604.0
전라북도전주시,2023,25755.5
전라북도정읍시,2020,35319.0
전라북도정읍시,2021,10890.0
전라북도정읍시,2022,5322.0
전라북도정읍시,2023,11020.0
전라북도진안군,2020,689.0
전라북도진안군,2021,761.0
전라북도진안군,2022,508.0
전라북도진안군,2023,625.0
제주도서귀포시,2020,4170.0
제주도서귀포시,2021,4929.0
제주도서귀포시,2022,3819.0
제주도서귀포시,2023,4794.0
제주도제주시,2020,5866.0
제주도제주시,2021,6167.0
제주도제주시,2022,6859.0
제주도제주시,2023,6737.0
충청남도계룡시,2020,1178.0
충청남도계룡시,2021,1650.0
충청남도계룡시,2022,1091.0
충청남도계룡시,2023,855.0
충청남도공주시,2020,4492.0
충청남도공주시,2021,4203.0
충청남도공주시,2022,5258.0
충청남도공주시,2023,4616.0
충청남도금산군,2020,7789.0
충청남도금산군,2021,8658.0
충청남도금산군,2022,10546.0
충청남도금산군,2023,8886.0
충청남도논산시,2020,4706.0
충청남도논산시,2021,6129.0
충청남도논산시,2022,2576.0
충청남도논산시,2023,7358.0
충청남도당진시,2020,74032.0
충청남도당진시,2021,83146.0
충청남도당진시,2022,77620.0
충청남도당진시,2023,69631.0
충청남도보령시,2020,2636.0
충청남도보령시,2021,2531.0
충청남도보령시,2022,3791.0
충청남도보령시,2023,5589.0
충청남도부여군,2020,5378.0
충청남도부여군,2021,5435.0
충청남도부여군,2022,4264.0
충청남도부여군,2023,2598.0
충청남도서산시,2020,72415.0
충청남도서산시,2021,91449.0
충청남도서산시,2022,79901.0
충청남도서산시,2023,51676.0
충청남도서천군,2020,18743.0
충청남도서천군,2021,22430.0
충청남도서천군,2022,18924.0
충청남도서천군,2023,35852.0
충청남도아산시,2020,164429.0
충청남도아산시,2021,196655.0
